price,qty,side
100.99,0.5,buy
100.72,0.5,sell
102.01,1.0,sell
105.06,0.5,sell
104.59,0.5,buy
104.12,1.0,sell
107.28,1.0,sell
108.82,2.0,sell
107.88,1.0,buy
108.96,1.0,sell
108.03,2.0,buy
107.10,1.0,sell
107.59,1.0,buy
103.76,2.0,buy
100.31,0.5,sell
99.19,1.0,sell
97.16,1.0,buy
97.79,0.5,buy
95.97,2.0,sell
93.15,1.0,buy
96.08,2.0,buy
95.63,0.5,buy
95.76,1.0,buy
92.91,0.5,buy
91.82,2.0,buy
92.05,2.0,buy
89.74,1.0,buy
90.50,1.0,sell
89.29,0.5,sell
88.71,1.0,buy
87.51,1.0,sell
91.21,0.5,sell
91.19,0.5,buy
89.07,1.0,buy
90.72,1.0,sell
88.27,2.0,sell
88.69,1.0,sell
84.77,2.0,buy
82.12,0.5,sell
82.51,2.0,sell
83.99,1.0,sell
84.33,1.0,buy
84.10,2.0,sell
83.50,1.0,buy
80.54,1.0,buy
79.10,0.5,buy
78.18,2.0,buy
80.29,1.0,buy
80.98,0.5,buy
77.45,0.5,buy
78.10,2.0,buy
77.33,2.0,sell
75.98,0.5,sell
77.20,2.0,buy
79.26,2.0,buy
81.12,1.0,buy
79.45,1.0,buy
78.83,0.5,buy
79.49,2.0,buy
81.44,0.5,sell
80.48,0.5,buy
80.11,2.0,sell
77.90,0.5,sell
75.51,2.0,sell
77.13,2.0,sell
79.84,1.0,buy
79.70,0.5,sell
81.71,1.0,sell
82.43,2.0,buy
81.14,0.5,buy
81.86,0.5,sell
84.94,2.0,buy
84.87,1.0,buy
88.00,1.0,buy
82.76,2.0,sell
84.40,0.5,buy
84.58,0.5,sell
83.98,2.0,sell
84.16,2.0,sell
80.19,2.0,sell
79.75,0.5,buy
80.46,1.0,buy
83.42,2.0,buy
82.38,0.5,buy
80.76,0.5,buy
79.76,0.5,buy
81.59,2.0,sell
82.25,2.0,sell
81.19,2.0,sell
82.21,1.0,sell
82.41,1.0,buy
84.35,0.5,sell
82.94,0.5,buy
